,name,cupping,Body,Brightness,Clean Cup,Complexity,Dry Fragrance,Finish,Flavor,Sweetness,Uniformity,Wet Aroma
60,Costa Rica Tarrazu Cafetales de Dota,"{'Body': '8.9', 'Brightness': '8', 'Clean Cup': '8.5', 'Complexity': '7.5', 'Dry Fragrance': '8.2', 'Finish': '8.2', 'Flavor': '8.3', 'Sweetness': '8.2', 'Uniformity': '9', 'Wet Aroma': '8.5'}",8.9,8.0,8.5,7.5,8.2,8.2,8.3,8.2,9.0,8.5
61,Costa Rica Yellow Honey La Guaria,"{'Body': '9.3', 'Brightness': '8.5', 'Clean Cup': '8.5', 'Complexity': '8.3', 'Dry Fragrance': '8.5', 'Finish': '8.3', 'Flavor': '8.6', 'Sweetness': '8.5', 'Uniformity': '8.5', 'Wet Aroma': '8.6'}",9.3,8.5,8.5,8.3,8.5,8.3,8.6,8.5,8.5,8.6
62,Costa Rica Zarcero Finca Salaca,"{'Body': '9', 'Brightness': '8.3', 'Clean Cup': '8.5', 'Complexity': '8.5', 'Dry Fragrance': '8.3', 'Finish': '8.5', 'Flavor': '8.6', 'Sweetness': '8.5', 'Uniformity': '8.5', 'Wet Aroma': '8.6'}",9.0,8.3,8.5,8.5,8.3,8.5,8.6,8.5,8.5,8.6
63,El Salvador Apaneca Finca Miravalle,"{'Body': '9', 'Brightness': '8.3', 'Clean Cup': '8.5', 'Complexity': '7.8', 'Dry Fragrance': '8.3', 'Finish': '8.3', 'Flavor': '8.5', 'Sweetness': '8.3', 'Uniformity': '8.5', 'Wet Aroma': '8.5'}",9.0,8.3,8.5,7.8,8.3,8.3,8.5,8.3,8.5,8.5
64,El Salvador Comasagua San Antonio,"{'Body': '8.8', 'Brightness': '8.3', 'Clean Cup': '8.3', 'Complexity': '7.8', 'Dry Fragrance': '8.2', 'Finish': '8.2', 'Flavor': '8.3', 'Sweetness': '8.3', 'Uniformity': '8.3', 'Wet Aroma': '8.5'}",8.8,8.3,8.3,7.8,8.2,8.2,8.3,8.3,8.3,8.5
65,El Salvador Dry Process Finca San Luis,"{'Body': '9', 'Brightness': '8.2', 'Clean Cup': '7', 'Complexity': '9.5', 'Dry Fragrance': '8.6', 'Finish': '8.5', 'Flavor': '8.7', 'Sweetness': '8.7', 'Uniformity': '8', 'Wet Aroma': '8.8'}",9.0,8.2,7.0,9.5,8.6,8.5,8.7,8.7,8.0,8.8
66,El Salvador Finca La Esperanza,"{'Body': '9', 'Brightness': '8.2', 'Clean Cup': '8.5', 'Complexity': '7.5', 'Dry Fragrance': '8', 'Finish': '8.2', 'Flavor': '8.5', 'Sweetness': '8.2', 'Uniformity': '9', 'Wet Aroma': '8.4'}",9.0,8.2,8.5,7.5,8.0,8.2,8.5,8.2,9.0,8.4
67,El Salvador Finca Miravalle Bourbon,"{'Body': '8.8', 'Brightness': '8.3', 'Clean Cup': '8.2', 'Complexity': '7.2', 'Dry Fragrance': '8.2', 'Finish': '8.2', 'Flavor': '8.5', 'Sweetness': '8.4', 'Uniformity': '9', 'Wet Aroma': '8.5'}",8.8,8.3,8.2,7.2,8.2,8.2,8.5,8.4,9.0,8.5
68,El Salvador Finca Miravalle Tabi,"{'Body': '9', 'Brightness': '8.5', 'Clean Cup': '8.5', 'Complexity': '7.5', 'Dry Fragrance': '8.2', 'Finish': '8.2', 'Flavor': '8.5', 'Sweetness': '8.3', 'Uniformity': '9', 'Wet Aroma': '8.5'}",9.0,8.5,8.5,7.5,8.2,8.2,8.5,8.3,9.0,8.5
69,El Salvador Santa Ana Pacamara,"{'Body': '8', 'Brightness': '8.8', 'Clean Cup': '9', 'Complexity': '8.7', 'Dry Fragrance': '8.6', 'Finish': '8.6', 'Flavor': '9', 'Sweetness': '8.7', 'Uniformity': '8.5', 'Wet Aroma': '8.7'}",8.0,8.8,9.0,8.7,8.6,8.6,9.0,8.7,8.5,8.7
70,El Salvador Santa Ana Pacas,"{'Body': '9', 'Brightness': '8.2', 'Clean Cup': '8.5', 'Complexity': '7.5', 'Dry Fragrance': '8.4', 'Finish': '8.2', 'Flavor': '8.6', 'Sweetness': '8.4', 'Uniformity': '8.5', 'Wet Aroma': '8.5'}",9.0,8.2,8.5,7.5,8.4,8.2,8.6,8.4,8.5,8.5
71,Ethiopia Agaro Duromina,"{'Body': '9', 'Brightness': '8.8', 'Clean Cup': '9', 'Complexity': '9.3', 'Dry Fragrance': '8.9', 'Finish': '9', 'Flavor': '9.2', 'Sweetness': '9', 'Uniformity': '8.7', 'Wet Aroma': '9.1'}",9.0,8.8,9.0,9.3,8.9,9.0,9.2,9.0,8.7,9.1
72,Ethiopia Agaro Kedamai,"{'Body': '9', 'Brightness': '8.7', 'Clean Cup': '8.5', 'Complexity': '9.3', 'Dry Fragrance': '9.1', 'Finish': '9', 'Flavor': '9.2', 'Sweetness': '9', 'Uniformity': '9', 'Wet Aroma': '9.2'}",9.0,8.7,8.5,9.3,9.1,9.0,9.2,9.0,9.0,9.2
73,Ethiopia Agaro Kedamai Coop,"{'Body': '8.8', 'Brightness': '8.7', 'Clean Cup': '9', 'Complexity': '9.5', 'Dry Fragrance': '9.3', 'Finish': '9.5', 'Flavor': '9.5', 'Sweetness': '9', 'Uniformity': '8.3', 'Wet Aroma': '9.6'}",8.8,8.7,9.0,9.5,9.3,9.5,9.5,9.0,8.3,9.6
74,Ethiopia Bensa Asefa Qonqana,"{'Body': '8.2', 'Brightness': '9', 'Clean Cup': '9', 'Complexity': '9.3', 'Dry Fragrance': '8.8', 'Finish': '9.2', 'Flavor': '9.3', 'Sweetness': '8.5', 'Uniformity': '8.2', 'Wet Aroma': '9'}",8.2,9.0,9.0,9.3,8.8,9.2,9.3,8.5,8.2,9.0
75,Ethiopia Benti Nenka SWP Decaf,"{'Body': '8.7', 'Brightness': '8.2', 'Clean Cup': '8', 'Complexity': '9', 'Dry Fragrance': '8.6', 'Finish': '7.4', 'Flavor': '8.8', 'Sweetness': '8.5', 'Uniformity': '9.5', 'Wet Aroma': '8.7'}",8.7,8.2,8.0,9.0,8.6,7.4,8.8,8.5,9.5,8.7
76,Ethiopia Dry Process Benti Nenka,"{'Body': '9', 'Brightness': '8.8', 'Clean Cup': '8.3', 'Complexity': '9.5', 'Dry Fragrance': '9', 'Finish': '9.1', 'Flavor': '9.4', 'Sweetness': '9', 'Uniformity': '8.2', 'Wet Aroma': '9.2'}",9.0,8.8,8.3,9.5,9.0,9.1,9.4,9.0,8.2,9.2
77,Ethiopia Dry Process Bombe Basha,"{'Body': '8.7', 'Brightness': '8.5', 'Clean Cup': '8.5', 'Complexity': '9.5', 'Dry Fragrance': '9', 'Finish': '9', 'Flavor': '9.3', 'Sweetness': '9', 'Uniformity': '8.5', 'Wet Aroma': '9.5'}",8.7,8.5,8.5,9.5,9.0,9.0,9.3,9.0,8.5,9.5
78,Ethiopia Dry Process Buno Dambi Uddo,"{'Body': '9.2', 'Brightness': '8.7', 'Clean Cup': '8.5', 'Complexity': '9.6', 'Dry Fragrance': '9.3', 'Finish': '9.3', 'Flavor': '9.3', 'Sweetness': '9', 'Uniformity': '8.2', 'Wet Aroma': '9.4'}",9.2,8.7,8.5,9.6,9.3,9.3,9.3,9.0,8.2,9.4
79,Ethiopia Dry Process Dari Kidame,"{'Body': '9', 'Brightness': '8.7', 'Clean Cup': '7.5', 'Complexity': '9.5', 'Dry Fragrance': '8.8', 'Finish': '8.8', 'Flavor': '9', 'Sweetness': '8.9', 'Uniformity': '8.2', 'Wet Aroma': '9.3'}",9.0,8.7,7.5,9.5,8.8,8.8,9.0,8.9,8.2,9.3
80,Ethiopia Dry Process Guji Buku,"{'Body': '9', 'Brightness': '9', 'Clean Cup': '8.5', 'Complexity': '9.7', 'Dry Fragrance': '9', 'Finish': '9', 'Flavor': '9.3', 'Sweetness': '8.8', 'Uniformity': '8.2', 'Wet Aroma': '9.2'}",9.0,9.0,8.5,9.7,9.0,9.0,9.3,8.8,8.2,9.2
81,Ethiopia Dry Process Hambela Buliye,"{'Body': '8.8', 'Brightness': '8.9', 'Clean Cup': '8.2', 'Complexity': '9.5', 'Dry Fragrance': '8.7', 'Finish': '9.2', 'Flavor': '9.3', 'Sweetness': '9', 'Uniformity': '8.2', 'Wet Aroma': '8.8'}",8.8,8.9,8.2,9.5,8.7,9.2,9.3,9.0,8.2,8.8
82,Ethiopia Dry Process Hambela Dabaye,"{'Body': '8.8', 'Brightness': '9', 'Clean Cup': '8.3', 'Complexity': '9.5', 'Dry Fragrance': '8.9', 'Finish': '9.3', 'Flavor': '9.2', 'Sweetness': '9', 'Uniformity': '7', 'Wet Aroma': '9.3'}",8.8,9.0,8.3,9.5,8.9,9.3,9.2,9.0,7.0,9.3
83,Ethiopia Dry Process Hambela Goro,"{'Body': '9.5', 'Brightness': '8.4', 'Clean Cup': '7.7', 'Complexity': '9.8', 'Dry Fragrance': '8.8', 'Finish': '8.8', 'Flavor': '9.2', 'Sweetness': '9.2', 'Uniformity': '8', 'Wet Aroma': '9.3'}",9.5,8.4,7.7,9.8,8.8,8.8,9.2,9.2,8.0,9.3
84,Ethiopia Dry Process Idido Desalegn Hijo,"{'Body': '9', 'Brightness': '8.8', 'Clean Cup': '8.5', 'Complexity': '9.6', 'Dry Fragrance': '9.1', 'Finish': '9.2', 'Flavor': '9.3', 'Sweetness': '9', 'Uniformity': '8.2', 'Wet Aroma': '9.5'}",9.0,8.8,8.5,9.6,9.1,9.2,9.3,9.0,8.2,9.5
85,Ethiopia Dry Process Keramo,"{'Body': '9', 'Brightness': '8.5', 'Clean Cup': '8.2', 'Complexity': '9.4', 'Dry Fragrance': '8.9', 'Finish': '8.8', 'Flavor': '8.9', 'Sweetness': '8.8', 'Uniformity': '8', 'Wet Aroma': '9'}",9.0,8.5,8.2,9.4,8.9,8.8,8.9,8.8,8.0,9.0
86,Ethiopia Dry Process Nensebo Refisa,"{'Body': '9', 'Brightness': '8.5', 'Clean Cup': '8.3', 'Complexity': '9.6', 'Dry Fragrance': '9', 'Finish': '9', 'Flavor': '9.3', 'Sweetness': '9', 'Uniformity': '9.2', 'Wet Aroma': '9.3'}",9.0,8.5,8.3,9.6,9.0,9.0,9.3,9.0,9.2,9.3
87,Ethiopia Dry Process Shantawene,"{'Body': '8.5', 'Brightness': '8.7', 'Clean Cup': '8.5', 'Complexity': '9.5', 'Dry Fragrance': '8.8', 'Finish': '9.2', 'Flavor': '9.3', 'Sweetness': '8.8', 'Uniformity': '8.2', 'Wet Aroma': '9.2'}",8.5,8.7,8.5,9.5,8.8,9.2,9.3,8.8,8.2,9.2
88,Ethiopia Dry Process Uraga Haro Wato,"{'Body': '8.8', 'Brightness': '8.8', 'Clean Cup': '8.3', 'Complexity': '9.7', 'Dry Fragrance': '9', 'Finish': '8.7', 'Flavor': '9.2', 'Sweetness': '9', 'Uniformity': '8.2', 'Wet Aroma': '9.3'}",8.8,8.8,8.3,9.7,9.0,8.7,9.2,9.0,8.2,9.3
89,Ethiopia Dry Process Yirga Cheffe Mengesha Farm,"{'Body': '8.6', 'Brightness': '8.6', 'Clean Cup': '8.5', 'Complexity': '9.3', 'Dry Fragrance': '9', 'Finish': '9.1', 'Flavor': '9.3', 'Sweetness': '8.8', 'Uniformity': '8.2', 'Wet Aroma': '9.3'}",8.6,8.6,8.5,9.3,9.0,9.1,9.3,8.8,8.2,9.3
90,Ethiopia Gera Ayetu Farm,"{'Body': '8.7', 'Brightness': '8.5', 'Clean Cup': '9', 'Complexity': '9.2', 'Dry Fragrance': '9', 'Finish': '9', 'Flavor': '9.2', 'Sweetness': '9', 'Uniformity': '9', 'Wet Aroma': '9.2'}",8.7,8.5,9.0,9.2,9.0,9.0,9.2,9.0,9.0,9.2
91,Ethiopia Gera Nano Challa,"{'Body': '9', 'Brightness': '8.7', 'Clean Cup': '9', 'Complexity': '9.3', 'Dry Fragrance': '8.8', 'Finish': '9.2', 'Flavor': '9.3', 'Sweetness': '9', 'Uniformity': '8.5', 'Wet Aroma': '9.2'}",9.0,8.7,9.0,9.3,8.8,9.2,9.3,9.0,8.5,9.2
92,Ethiopia Gera-Goma SWP Decaf,"{'Body': '9', 'Brightness': '8.4', 'Clean Cup': '7.5', 'Complexity': '9', 'Dry Fragrance': '8', 'Finish': '7.5', 'Flavor': '8.7', 'Sweetness': '8.3', 'Uniformity': '9', 'Wet Aroma': '8.4'}",9.0,8.4,7.5,9.0,8.0,7.5,8.7,8.3,9.0,8.4
93,Ethiopia Geta Bore SWP Decaf,"{'Body': '8.7', 'Brightness': '8', 'Clean Cup': '8.2', 'Complexity': '8.7', 'Dry Fragrance': '8.3', 'Finish': '8.2', 'Flavor': '8.5', 'Sweetness': '8.5', 'Uniformity': '9.5', 'Wet Aroma': '8.5'}",8.7,8.0,8.2,8.7,8.3,8.2,8.5,8.5,9.5,8.5
94,Ethiopia Guji Buku Sayisa,"{'Body': '8.3', 'Brightness': '8.5', 'Clean Cup': '8.2', 'Complexity': '9.5', 'Dry Fragrance': '8.9', 'Finish': '8.2', 'Flavor': '9', 'Sweetness': '9', 'Uniformity': '9', 'Wet Aroma': '9'}",8.3,8.5,8.2,9.5,8.9,8.2,9.0,9.0,9.0,9.0
95,Ethiopia Guji Gorebeti SWP Decaf,"{'Body': '8.8', 'Brightness': '7.6', 'Clean Cup': '7.6', 'Complexity': '9', 'Dry Fragrance': '8.4', 'Finish': '8', 'Flavor': '8.8', 'Sweetness': '8.7', 'Uniformity': '9.5', 'Wet Aroma': '8.6'}",8.8,7.6,7.6,9.0,8.4,8.0,8.8,8.7,9.5,8.6
96,Ethiopia Guji Hambela Dabaye,"{'Body': '8.1', 'Brightness': '9', 'Clean Cup': '9.5', 'Complexity': '9.6', 'Dry Fragrance': '9.3', 'Finish': '9.6', 'Flavor': '9.6', 'Sweetness': '9.2', 'Uniformity': '9', 'Wet Aroma': '9.6'}",8.1,9.0,9.5,9.6,9.3,9.6,9.6,9.2,9.0,9.6
97,Ethiopia Guji Shakiso Reji,"{'Body': '8.7', 'Brightness': '8.7', 'Clean Cup': '9', 'Complexity': '9', 'Dry Fragrance': '8.8', 'Finish': '8.8', 'Flavor': '9', 'Sweetness': '9', 'Uniformity': '9', 'Wet Aroma': '9'}",8.7,8.7,9.0,9.0,8.8,8.8,9.0,9.0,9.0,9.0
98,Ethiopia Hambela Benti Nenka,"{'Body': '8', 'Brightness': '9', 'Clean Cup': '8.2', 'Complexity': '9.2', 'Dry Fragrance': '8.9', 'Finish': '8.7', 'Flavor': '9', 'Sweetness': '8.6', 'Uniformity': '9', 'Wet Aroma': '9'}",8.0,9.0,8.2,9.2,8.9,8.7,9.0,8.6,9.0,9.0
99,Ethiopia Kayon Mountain Taaroo,"{'Body': '8', 'Brightness': '9', 'Clean Cup': '9.5', 'Complexity': '9.5', 'Dry Fragrance': '9', 'Finish': '9.5', 'Flavor': '9.6', 'Sweetness': '8.7', 'Uniformity': '9', 'Wet Aroma': '9.5'}",8.0,9.0,9.5,9.5,9.0,9.5,9.6,8.7,9.0,9.5
100,Ethiopia Kennisa Coop,"{'Body': '8.8', 'Brightness': '9', 'Clean Cup': '9', 'Complexity': '9.3', 'Dry Fragrance': '8.8', 'Finish': '8.8', 'Flavor': '9', 'Sweetness': '9', 'Uniformity': '9', 'Wet Aroma': '9'}",8.8,9.0,9.0,9.3,8.8,8.8,9.0,9.0,9.0,9.0
101,Ethiopia Nensebo Refisa,"{'Body': '8.2', 'Brightness': '9', 'Clean Cup': '8.4', 'Complexity': '9.5', 'Dry Fragrance': '9.3', 'Finish': '9.3', 'Flavor': '9.5', 'Sweetness': '9', 'Uniformity': '8.5', 'Wet Aroma': '9.5'}",8.2,9.0,8.4,9.5,9.3,9.3,9.5,9.0,8.5,9.5
102,Ethiopia Organic Agaro Duromina,"{'Body': '9.3', 'Brightness': '8.9', 'Clean Cup': '9', 'Complexity': '9.3', 'Dry Fragrance': '9', 'Finish': '9', 'Flavor': '9.2', 'Sweetness': '9', 'Uniformity': '9', 'Wet Aroma': '9.3'}",9.3,8.9,9.0,9.3,9.0,9.0,9.2,9.0,9.0,9.3
103,Ethiopia Organic Dry Process Birbirsa Coop,"{'Body': '9.2', 'Brightness': '8.8', 'Clean Cup': '8.3', 'Complexity': '9.5', 'Dry Fragrance': '9.2', 'Finish': '9', 'Flavor': '9.3', 'Sweetness': '9', 'Uniformity': '8', 'Wet Aroma': '9.4'}",9.2,8.8,8.3,9.5,9.2,9.0,9.3,9.0,8.0,9.4
104,Ethiopia Organic Dry Process Daannisa,"{'Body': '9', 'Brightness': '8.7', 'Clean Cup': '8.3', 'Complexity': '9.5', 'Dry Fragrance': '9', 'Finish': '9', 'Flavor': '9.3', 'Sweetness': '9', 'Uniformity': '8.5', 'Wet Aroma': '9'}",9.0,8.7,8.3,9.5,9.0,9.0,9.3,9.0,8.5,9.0
105,Ethiopia Organic Gera Genji Challa,"{'Body': '9', 'Brightness': '9.1', 'Clean Cup': '9', 'Complexity': '9.3', 'Dry Fragrance': '9.2', 'Finish': '9.2', 'Flavor': '9.3', 'Sweetness': '9', 'Uniformity': '9', 'Wet Aroma': '9.3'}",9.0,9.1,9.0,9.3,9.2,9.2,9.3,9.0,9.0,9.3
106,Ethiopia Organic Gera Nano Challa,"{'Body': '9', 'Brightness': '9', 'Clean Cup': '9', 'Complexity': '9.5', 'Dry Fragrance': '9.2', 'Finish': '9.3', 'Flavor': '9.4', 'Sweetness': '8.9', 'Uniformity': '9', 'Wet Aroma': '9.5'}",9.0,9.0,9.0,9.5,9.2,9.3,9.4,8.9,9.0,9.5
107,Ethiopia Organic Yebuna Terara SWP Decaf,"{'Body': '8.7', 'Brightness': '8', 'Clean Cup': '8', 'Complexity': '9', 'Dry Fragrance': '8.7', 'Finish': '8', 'Flavor': '8.6', 'Sweetness': '8.3', 'Uniformity': '10', 'Wet Aroma': '8.5'}",8.7,8.0,8.0,9.0,8.7,8.0,8.6,8.3,10.0,8.5
108,Ethiopia Sidama Bombe,"{'Body': '8.6', 'Brightness': '8.5', 'Clean Cup': '8.3', 'Complexity': '9.3', 'Dry Fragrance': '8.9', 'Finish': '8.8', 'Flavor': '9', 'Sweetness': '8.8', 'Uniformity': '9', 'Wet Aroma': '9.1'}",8.6,8.5,8.3,9.3,8.9,8.8,9.0,8.8,9.0,9.1
109,Ethiopia Sidama Keramo,"{'Body': '8.2', 'Brightness': '9', 'Clean Cup': '9', 'Complexity': '9.5', 'Dry Fragrance': '9.3', 'Finish': '9.5', 'Flavor': '9.5', 'Sweetness': '8.8', 'Uniformity': '9', 'Wet Aroma': '9.4'}",8.2,9.0,9.0,9.5,9.3,9.5,9.5,8.8,9.0,9.4
110,Ethiopia Uraga Raro Boda,"{'Body': '8.3', 'Brightness': '9', 'Clean Cup': '8.5', 'Complexity': '9.5', 'Dry Fragrance': '9.2', 'Finish': '9.2', 'Flavor': '9.3', 'Sweetness': '8.9', 'Uniformity': '8.5', 'Wet Aroma': '9.5'}",8.3,9.0,8.5,9.5,9.2,9.2,9.3,8.9,8.5,9.5
111,Ethiopia Yirga Cheffe Chelbesa Danche,"{'Body': '8.2', 'Brightness': '9', 'Clean Cup': '9.5', 'Complexity': '9.5', 'Dry Fragrance': '9.3', 'Finish': '9.6', 'Flavor': '9.6', 'Sweetness': '9.3', 'Uniformity': '9', 'Wet Aroma': '9.5'}",8.2,9.0,9.5,9.5,9.3,9.6,9.6,9.3,9.0,9.5
112,Ethiopia Yirga Cheffe Chelchele,"{'Body': '9', 'Brightness': '8.8', 'Clean Cup': '7.7', 'Complexity': '9.2', 'Dry Fragrance': '8.8', 'Finish': '8.5', 'Flavor': '9', 'Sweetness': '8.8', 'Uniformity': '9', 'Wet Aroma': '9'}",9.0,8.8,7.7,9.2,8.8,8.5,9.0,8.8,9.0,9.0
113,Ethiopia Yirga Cheffe Kebele Gotiti,"{'Body': '8.3', 'Brightness': '9', 'Clean Cup': '9.2', 'Complexity': '9.5', 'Dry Fragrance': '9', 'Finish': '9.3', 'Flavor': '9.4', 'Sweetness': '9.3', 'Uniformity': '9', 'Wet Aroma': '9.3'}",8.3,9.0,9.2,9.5,9.0,9.3,9.4,9.3,9.0,9.3
114,Ethiopia Yukiro Cooperative,"{'Body': '8.9', 'Brightness': '8.8', 'Clean Cup': '9.5', 'Complexity': '9.2', 'Dry Fragrance': '9', 'Finish': '9.1', 'Flavor': '9.2', 'Sweetness': '9.2', 'Uniformity': '8.8', 'Wet Aroma': '9.3'}",8.9,8.8,9.5,9.2,9.0,9.1,9.2,9.2,8.8,9.3
115,Flores Dry Process Bei Poso Village,"{'Body': '9.4', 'Brightness': '8.5', 'Clean Cup': '7.7', 'Complexity': '9.4', 'Dry Fragrance': '8.2', 'Finish': '7.7', 'Flavor': '8.8', 'Sweetness': '8.5', 'Uniformity': '8.2', 'Wet Aroma': '8.6'}",9.4,8.5,7.7,9.4,8.2,7.7,8.8,8.5,8.2,8.6
116,Flores Gunung Waja Mala,"{'Body': '8.7', 'Brightness': '8.3', 'Clean Cup': '8.5', 'Complexity': '8.3', 'Dry Fragrance': '8.3', 'Finish': '8.3', 'Flavor': '8.6', 'Sweetness': '8.5', 'Uniformity': '8.5', 'Wet Aroma': '8.5'}",8.7,8.3,8.5,8.3,8.3,8.3,8.6,8.5,8.5,8.5
117,Flores Wolo Wio,"{'Body': '9', 'Brightness': '8', 'Clean Cup': '8.2', 'Complexity': '8.2', 'Dry Fragrance': '8.2', 'Finish': '8', 'Flavor': '8.3', 'Sweetness': '8.4', 'Uniformity': '8.5', 'Wet Aroma': '8.6'}",9.0,8.0,8.2,8.2,8.2,8.0,8.3,8.4,8.5,8.6
118,Guatemala Acatenango Gesha,"{'Body': '8.8', 'Brightness': '8.7', 'Clean Cup': '9.3', 'Complexity': '9.6', 'Dry Fragrance': '9.3', 'Finish': '9.3', 'Flavor': '9.5', 'Sweetness': '9', 'Uniformity': '8.3', 'Wet Aroma': '9.6'}",8.8,8.7,9.3,9.6,9.3,9.3,9.5,9.0,8.3,9.6
119,Guatemala Acatenango San Diego Buena Vista,"{'Body': '8.8', 'Brightness': '8.6', 'Clean Cup': '8.5', 'Complexity': '8', 'Dry Fragrance': '8.5', 'Finish': '8.5', 'Flavor': '8.6', 'Sweetness': '8.5', 'Uniformity': '8.5', 'Wet Aroma': '8.6'}",8.8,8.6,8.5,8.0,8.5,8.5,8.6,8.5,8.5,8.6
